"artist","museum","gender","ethnicity","GEO3major","year"
"Frederick Grant","Dallas Museum of Art","man","white","North America",NA
"Xavier Grau","Dallas Museum of Art","man","hispanic","Europe","1950"
"Henry Greenway","Dallas Museum of Art","man","white","Europe","1830"
"John Worthington Gregory","Dallas Museum of Art","man","white","North America","1900"
"Hence Griffith","Dallas Museum of Art","man","white","North America","1940"
"Louis Oscar Griffith","Dallas Museum of Art","man","white","North America","1880"
"Greta Magnusson Grossman","Dallas Museum of Art","woman","white","Europe","1910"
"George Grosz","Dallas Museum of Art","man","white","Europe","1890"
"Charles FranA?ois Prosper GuACrin","Dallas Museum of Art","man","white","Europe","1880"
"Carlo Guaita","Dallas Museum of Art","man","white","Europe","1950"
"Lurelle Guild","Dallas Museum of Art","man","white","North America","1900"
"Jacques Guillon","Dallas Museum of Art","man",NA,"Europe",NA
"Henri Jules Guinier","Dallas Museum of Art","man","white","Europe","1870"
"Nunzio Gulino","Dallas Museum of Art","man","white","Europe","1920"
"Gerald Gulotta","Dallas Museum of Art","man","white","North America","1920"
"Sam Gummelt","Dallas Museum of Art","man","white","North America","1940"
"Sue Ferguson Gussow","Dallas Museum of Art","woman","white","North America","1940"
"Robert Gwathmey","Dallas Museum of Art","man",NA,"North America","1900"
"Charlotte Schwarz Hallet","Dallas Museum of Art","woman","white","North America","1940"
"Edouard Halouze","Dallas Museum of Art","man","white",NA,NA
"Milton P. Hannah","Dallas Museum of Art",NA,NA,"North America","1930"
"Chester Harding","Dallas Museum of Art","man",NA,"North America","1790"
"Laurence S. Harris","Dallas Museum of Art","man",NA,NA,NA
"Christine Hatt","Dallas Museum of Art","woman","white","Europe","1950"
"Rachel Hecker","Dallas Museum of Art","woman","white","North America","1960"
"Manfred Wakolbinger, Anna Heindl","Dallas Museum of Art",NA,NA,NA,NA
"Veronica Helfensteller","Dallas Museum of Art",NA,"white","North America","1910"
"Florent Antoine Heller","Dallas Museum of Art","man","white",NA,"1840"
"Paul-CACsar Helleu","Dallas Museum of Art","man","white",NA,"1860"
"Anthony Hernandez","Dallas Museum of Art","man",NA,"North America","1950"
"John Hernandez","Dallas Museum of Art","man",NA,NA,"1950"
"Eva Hesse","Dallas Museum of Art","woman","white","Europe","1940"
"Otto Hettner","Dallas Museum of Art","man","white","Europe","1880"
"Margarete Heymann-Marks","Dallas Museum of Art",NA,"white","Europe","1900"
"Hilaire Hiler","Dallas Museum of Art","man","white","North America","1900"
"Alexis Hinsberger","Dallas Museum of Art","man",NA,"Europe","1910"
"Adolf Hiremy-Hirschl","Dallas Museum of Art","man","white","Europe","1860"
"Sue Hirst","Dallas Museum of Art","woman","white",NA,NA
"Nokamura Hochu","Dallas Museum of Art","man","asian","Asia and the Pacific","1790"
"Josef Hoffmann","Dallas Museum of Art","man","white","Europe","1870"
"Sakai Hoitsu","Dallas Museum of Art","man","asian","Asia and the Pacific","1760"
"Tomas Hoke","Dallas Museum of Art","man","white","Europe","1960"
"Wenceslaus Hollar","Dallas Museum of Art","man","white","Europe","1610"
"Roni Horn","Dallas Museum of Art",NA,"white","North America","1960"
"R. Hornho","Dallas Museum of Art",NA,NA,"Europe",NA
"Victor Horta","Dallas Museum of Art","man","white","Europe","1860"
"Earl Horter","Dallas Museum of Art","man","white","North America","1880"
"Arnold Houbraken","Dallas Museum of Art","man","white","Europe","1660"
"Jean-Antoine Houdon","Dallas Museum of Art","man","white","Europe","1740"
"Sandria Hu","Dallas Museum of Art","woman",NA,"North America","1950"
"Edith MostbA?ck Hubert","Dallas Museum of Art","woman","white","Europe","1900"
"Peter Hujar","Dallas Museum of Art","man","white","North America","1930"
"Bryan Hunt","Dallas Museum of Art","man","white","North America","1950"
"Robert Huot","Dallas Museum of Art","man","white","North America","1940"
"Clarke Hutton","Dallas Museum of Art","man","white","Europe","1900"
"Gerardus Duyckinck I","Dallas Museum of Art","man","white",NA,"1700"
"Kirsti Ilvessalo","Dallas Museum of Art","woman","white","Europe","1920"
"Robert Indiana","Dallas Museum of Art","man","white","North America","1930"
"EugA?ne Isabey","Dallas Museum of Art","man","white","Europe","1800"
"Olowe of Ise","Dallas Museum of Art","man","black","Africa","1880"
"Taro Izumi","Dallas Museum of Art",NA,"asian","Asia and the Pacific","1980"
"Hermann JA?nger","Dallas Museum of Art","man","white","Europe","1930"
"Bill Jacobson","Dallas Museum of Art","man",NA,"North America","1960"
"Roland Jarvis","Dallas Museum of Art","man","white",NA,"1930"
"Lucille Jeffries","Dallas Museum of Art","woman","white","North America","1900"
"Paul Jenkins","Dallas Museum of Art","man","white","North America","1920"
"Alfred Jensen","Dallas Museum of Art","man","hispanic","Latin America and the Caribbean","1900"
"David Jensen","Dallas Museum of Art","man",NA,"North America","1950"
"Nils Johan","Dallas Museum of Art","man","white","Europe","1940"
"Patricia Johanson","Dallas Museum of Art","woman","white","North America","1940"
"Augustus John","Dallas Museum of Art","man","white","Europe","1880"
"Eastman Johnson","Dallas Museum of Art","man","white","North America","1820"
"Larry Johnson","Dallas Museum of Art","man",NA,NA,"1960"
"Philip Johnson","Dallas Museum of Art","man",NA,"North America",NA
"Ynez Johnston","Dallas Museum of Art","woman","white","North America","1920"
"Allen Jones","Dallas Museum of Art","man","white","Europe","1940"
"Otis Jones","Dallas Museum of Art","man","white","North America","1950"
"Raymond Jonson","Dallas Museum of Art","man","white","North America","1890"
"Luis Alfonso Jimenez Jr.","Dallas Museum of Art","man","hispanic",NA,"1940"
"William Waldo Dodge, Jr.","Dallas Museum of Art","man","white","North America","1900"
"Wolf Kahn","Dallas Museum of Art","man","white","Europe","1930"
"Wyatt Kahn","Dallas Museum of Art","man",NA,"North America","1980"
"Ben Kamihira","Dallas Museum of Art","man","asian",NA,"1920"
"Kananginak","Dallas Museum of Art","man","other","North America","1940"
"Svatopluk KasalA?","Dallas Museum of Art",NA,"white","Europe",NA
"Misty Keasler","Dallas Museum of Art","woman","white","North America","1980"
"George Prentiss Kendrick","Dallas Museum of Art","man","white","North America",NA
"Mel Kendrick","Dallas Museum of Art","man","white","North America","1950"
"Nikos Kessanlis","Dallas Museum of Art","man","white","Europe","1930"
"Beppe Kessler","Dallas Museum of Art",NA,"white","Europe","1950"
"Alfred G. Kintz","Dallas Museum of Art","man","white","North America","1880"
"Torii Kiyonaga","Dallas Museum of Art","man","asian","Asia and the Pacific","1750"
"Torii Kiyonobu","Dallas Museum of Art","man","asian","Asia and the Pacific","1660"
"Dame Laura Knight","Dallas Museum of Art","woman","white","Europe","1880"
"Guitou Knoop","Dallas Museum of Art",NA,"white","Europe",NA
"Win Knowlton","Dallas Museum of Art","man","white","North America","1950"
"Friedrich Knupper","Dallas Museum of Art","man","white",NA,NA
"Ferne Koch","Dallas Museum of Art","woman","white","North America","1910"
"Jaroslav Kodejs","Dallas Museum of Art","man","white","Europe","1940"
"Hayashi Kodenji","Dallas Museum of Art","man","asian","Asia and the Pacific","1830"
"Ib Kofod-Larsen","Dallas Museum of Art","man","white","Europe","1920"
"Alois Kolb","Dallas Museum of Art","man","white","Europe","1880"
"Jacob Koopee","Dallas Museum of Art","man","other","North America","1970"
"Utagawa Kuninaga","Dallas Museum of Art","man",NA,"Asia and the Pacific",NA
"Kuniyoshi","Dallas Museum of Art","man","asian","Asia and the Pacific",NA
"Gabriele Kutschera","Dallas Museum of Art",NA,NA,"Europe","1950"
"Ernest Laborde","Dallas Museum of Art","man","white","Europe","1870"
"Gisella Lacher","Dallas Museum of Art","woman","white","Europe",NA
"Michael Lacktman","Dallas Museum of Art","man","white","North America","1940"
"Charles Francois Lacroix","Dallas Museum of Art","man","white","Europe","1700"
"Jim Lambie","Dallas Museum of Art","man","white","Europe","1960"
"Nicolas Lancret","Dallas Museum of Art","man","white","Europe","1690"
"Arnin Landeck","Dallas Museum of Art","man","white","North America","1900"
"Bertha M. Landers","Dallas Museum of Art","woman","white","North America","1910"
"Paul Landowski","Dallas Museum of Art","man","white","Europe","1880"
"Daniel S. Lang","Dallas Museum of Art","man","white","North America",NA
"Paul-Marie Lapierre-Renouard","Dallas Museum of Art","man","white","Europe","1850"
"Nicolas de LargilliA?re","Dallas Museum of Art","man","white","Europe","1660"
"Jonathan Lasker","Dallas Museum of Art","man","white","North America","1950"
"Henri Laurens","Dallas Museum of Art","man","white","Europe","1880"
"Sydney Lawrence","Dallas Museum of Art","man","white","North America","1860"
"Carroll Dean Lee","Dallas Museum of Art",NA,"white","North America",NA
"Paul Lee","Dallas Museum of Art","man","white","Europe","1970"
"Rita Leff","Dallas Museum of Art","woman","white","North America","1910"
"Sir Peter van der Faes Lely","Dallas Museum of Art","man","white","Europe","1620"
"Michael Ponce de Leon","Dallas Museum of Art","man","white",NA,"1920"
"Vicke Lindstrand","Dallas Museum of Art","man","white","Europe","1900"
"John Lloyd","Dallas Museum of Art","man","white","Europe","1750"
"Clark L. Lofgren","Dallas Museum of Art","man",NA,NA,NA
"Luis Arturo Lopez","Dallas Museum of Art","man","hispanic",NA,NA
"Andrew Lord","Dallas Museum of Art","man","white","Europe","1950"
"Peter Lorentz","Dallas Museum of Art","man","white",NA,NA
"Daniela De Lorenzo","Dallas Museum of Art",NA,"white","Europe","1960"
"Alma Loretto","Dallas Museum of Art","woman","other","North America","1940"
"Sarah Lucas","Dallas Museum of Art","woman","white","Europe","1960"
"Bruno Lucchesi","Dallas Museum of Art","man","white","Europe","1930"
"Michele De Lucchi","Dallas Museum of Art","man","white","Europe","1950"
"Maximilien Luce","Dallas Museum of Art","man","white","Europe","1860"
"Luigi Lucioni","Dallas Museum of Art","man","white","Europe","1900"
"Ferdinand Luigini","Dallas Museum of Art","man","white","Europe","1870"
"Pam Lujan-Hauer","Dallas Museum of Art","woman","other","North America",NA
"Jean Lurcat","Dallas Museum of Art","man","white","Europe","1890"
"Danny Lyon","Dallas Museum of Art","man","white","North America","1940"
"Manabu Mabe","Dallas Museum of Art","man","asian",NA,"1920"
"William Macilraith","Dallas Museum of Art","man",NA,NA,"1960"
"Leopoldo MACndez","Dallas Museum of Art","man","hispanic","Latin America and the Caribbean","1900"
"Eric Magnussen","Dallas Museum of Art","man","white","Europe","1940"
"Erik Magnussen","Dallas Museum of Art","man","white","Europe","1940"
"A?douard Manet","Dallas Museum of Art","man","white","Europe","1830"
"Jacques Villon, A?douard Manet","Dallas Museum of Art","man","white","Europe","1880"
"Louis Marcoussis","Dallas Museum of Art","man","white","Europe","1880"
"Brice Marden","Dallas Museum of Art","man","white",NA,"1940"
"Samuel L. Margolies","Dallas Museum of Art","man","white","North America","1900"
"Irving L. Margolis","Dallas Museum of Art",NA,NA,NA,NA
"Raffaele Martini","Dallas Museum of Art",NA,"white","Europe","1940"
"Robert Joseph Massey","Dallas Museum of Art",NA,"white","North America","1920"
"Paolo de Matteis","Dallas Museum of Art","man","white","Europe","1660"
"William G. de Matteo","Dallas Museum of Art","man",NA,NA,"1900"
"James McBey","Dallas Museum of Art","man","white","Europe","1880"
"Hayes McCauley","Dallas Museum of Art",NA,NA,NA,NA
"J. Kenny Meadows","Dallas Museum of Art","man","white",NA,"1790"
"Hugues Merle","Dallas Museum of Art","man","white","Europe","1820"
"Sharon Merrill","Dallas Museum of Art",NA,NA,"North America",NA
"FAClix Meseck","Dallas Museum of Art","man","white","Europe","1880"
"George Joseph Mess","Dallas Museum of Art","man","white","North America","1900"
"Tom Millea","Dallas Museum of Art","man","white","North America","1940"
"Clarence Millet","Dallas Museum of Art",NA,NA,"North America",NA
"Keith Milow","Dallas Museum of Art","man","white","Europe","1940"
"George Minne","Dallas Museum of Art","man","white","Europe","1870"
"Daniel Mirer","Dallas Museum of Art","man","white",NA,NA
"Stella Lodge La Mond","Dallas Museum of Art","woman","white","North America","1890"
"Gerald Gulotta, La Industrial Mondragonesa","Dallas Museum of Art","man","white","North America","1920"
"Adolphe Monticelli","Dallas Museum of Art","man","white","Europe","1820"
"William Moore","Dallas Museum of Art","man",NA,NA,NA
"Carlo Moretti","Dallas Museum of Art","man","white","Europe",NA
"Berthe Morisot","Dallas Museum of Art","woman","white","Europe","1840"
"Ennio Morlotti","Dallas Museum of Art","man","white","Europe","1910"
"Giovanni Battista Moroni","Dallas Museum of Art","man","white","Europe","1520"
"Ivan Mosca","Dallas Museum of Art","man","white","Europe","1920"
"Alphonse Mucha","Dallas Museum of Art","man","white","Europe","1860"
"Karl L. H. Mueller","Dallas Museum of Art","man","white",NA,"1820"
"John Muench","Dallas Museum of Art","man","white","North America","1910"
"Charles Murphy","Dallas Museum of Art","man","white","North America","1910"
"Leszek-Tadeusz Myszynski","Dallas Museum of Art","man","white","Europe","1920"
"Rainy Naha","Dallas Museum of Art","woman","other","North America","1950"
"Lawrence Namoki","Dallas Museum of Art","man","other","North America",NA
"Dusty Naranjo","Dallas Museum of Art","woman","other","North America","1970"
"A. Douglas Nash","Dallas Museum of Art","man","white","North America","1880"
"Thomas Willoughby Nason","Dallas Museum of Art","man","white","North America","1890"
"John Preston Neale","Dallas Museum of Art","man","white","Europe","1780"
"Anthy Nelme","Dallas Museum of Art","man","white","Europe",NA
"Leonard Nelson","Dallas Museum of Art","man","white",NA,NA
"Louise Nevelson","Dallas Museum of Art","woman","white","Europe","1900"
"George Glenn Newell","Dallas Museum of Art","man","white","North America","1870"
"Evald Nielsen","Dallas Museum of Art","man","white","Europe","1880"
"Georg Jensen Silversmithy, Harald Nielsen","Dallas Museum of Art","man","white","Europe",NA
"Franz van Nievenburg","Dallas Museum of Art","man","white","Europe","1940"
"Konoe Nobutada","Dallas Museum of Art","man","asian","Asia and the Pacific","1560"
"Xavier Nogues","Dallas Museum of Art","man",NA,"Europe","1870"
"Pieter Nolpe","Dallas Museum of Art","man","white","Europe","1610"
"Jean van Noten","Dallas Museum of Art","man","white","Europe","1900"
"Virginia Ogg","Dallas Museum of Art",NA,NA,NA,NA
"Thorkild Olsen","Dallas Museum of Art","man","white","Europe","1890"
"Robert Jenkins Onderdonk","Dallas Museum of Art","man","white","North America","1850"
"Ferdinando Ongania","Dallas Museum of Art","man","white","Europe","1840"
"Alfonso Ossorio","Dallas Museum of Art","man","asian","Asia and the Pacific","1920"
"Stanislaw Ostoja-Chrostowski","Dallas Museum of Art","man","white","Europe","1900"
"John Nicholas Otar","Dallas Museum of Art","man","white",NA,NA
"Kiyoji Otsuji","Dallas Museum of Art","man","asian","Asia and the Pacific","1920"
"ThACrA?se Oulton","Dallas Museum of Art","woman","white","Europe","1950"
"Bill Owens","Dallas Museum of Art","man","white","North America","1940"
"Robert Page","Dallas Museum of Art","man",NA,NA,"1980"
"William Palmer","Dallas Museum of Art","man","white","North America","1910"
"William Pankey","Dallas Museum of Art","man",NA,"North America","1950"
"Gaston Paris","Dallas Museum of Art","man","white","Europe",NA
"Gordon Parks","Dallas Museum of Art","man","black","North America","1910"
"Parr","Dallas Museum of Art","man",NA,NA,NA
"Susanne Pascal","Dallas Museum of Art","woman","white","North America","1910"
"Jean-Baptiste Pater","Dallas Museum of Art","man","white","Europe",NA
"Herbert Paus","Dallas Museum of Art","man","white","North America",NA
"Alicia Penalba","Dallas Museum of Art","woman","hispanic","Latin America and the Caribbean","1910"
"Georg Pencz","Dallas Museum of Art","man","white","Europe","1500"
"Joseph Pennell","Dallas Museum of Art","man","white","North America","1860"
"Elsa Peretti","Dallas Museum of Art","woman","white",NA,"1940"
"Gabor F. Peterdi","Dallas Museum of Art","man","white",NA,"1920"
"John Frederick Peto","Dallas Museum of Art","man",NA,"North America","1850"
"Sano di Pietro","Dallas Museum of Art","man","white","Europe","1410"
"John Pilson","Dallas Museum of Art","man",NA,NA,NA
"Michelangelo Pistoletto","Dallas Museum of Art",NA,"white",NA,"1930"
"William Pitts","Dallas Museum of Art","man","white",NA,NA
"Antoine Sebastian Plamondon","Dallas Museum of Art","man",NA,"North America","1800"
"Lazaro Ponce","Dallas Museum of Art","man","hispanic",NA,NA
"Liubov Popova","Dallas Museum of Art","woman","white","Europe","1890"
"Lois Pothoff","Dallas Museum of Art","woman","white","North America","1920"
"Eva Zeisel, Red Wing Potteries","Dallas Museum of Art",NA,"white",NA,"1910"
"Ben Seibel, Iroquois Pottery","Dallas Museum of Art","man","white","North America","1920"
"Hiram Powers","Dallas Museum of Art","man","white","North America","1800"
"James Pradier","Dallas Museum of Art","man","white",NA,"1790"
"Cornelis Pronk","Dallas Museum of Art","man","white","Europe","1690"
"Martin Puryear","Dallas Museum of Art","man","white","North America","1940"
"Elsa Rady","Dallas Museum of Art","woman","white","North America","1940"
"Henry Patrick Raleigh","Dallas Museum of Art","man","white","North America","1880"
"Paul Ranson","Dallas Museum of Art","man","white","Europe","1860"
"Robert Rauschenberg","Dallas Museum of Art","man","white","North America","1920"
"Leonard Raven-Hill","Dallas Museum of Art","man","white","Europe","1910"
"Frank Reaugh","Dallas Museum of Art","man","white","North America","1860"
"N. Krishna Reddy","Dallas Museum of Art","man","asian","Asia and the Pacific","1920"
"Doel Reed","Dallas Museum of Art","man","white","North America","1890"
"Edna Reindel","Dallas Museum of Art","woman","white","North America","1890"
"Henry Reuterdahl","Dallas Museum of Art","man","white",NA,"1870"
"Alan Reynolds","Dallas Museum of Art","man","white","Europe","1930"
"Frederick H. Rhead","Dallas Museum of Art","man","white","Europe","1880"
"Jusepe de Ribera","Dallas Museum of Art","man","white","Europe","1590"
"George Mather Richards","Dallas Museum of Art","man","white","North America","1880"
"Germaine Richier","Dallas Museum of Art",NA,"white","Europe","1900"
"Oscar Riedener","Dallas Museum of Art","man","white",NA,"1910"
"Mrs. B. W. Riley","Dallas Museum of Art",NA,NA,NA,NA
"Henri RiviA?re","Dallas Museum of Art","man",NA,"Europe","1860"
"H. O. Robertson","Dallas Museum of Art","man","white","North America","1890"
"Harry Robinson","Dallas Museum of Art","man","white","North America","1880"
"William S. Robinson","Dallas Museum of Art","man","white","North America","1860"
"Johan Rohde","Dallas Museum of Art","man","white","Europe","1860"
"Ludwig Mies van der Rohe","Dallas Museum of Art","man","white","Europe","1890"
"Umberto Romano","Dallas Museum of Art","man","white",NA,"1900"
"Ugo Rondinone","Dallas Museum of Art","man","white","Europe","1960"
"Rachel Rose","Dallas Museum of Art","woman","white","North America","1990"
"Stanley Roseman","Dallas Museum of Art","man","white","North America","1950"
"Zade Rosenthal","Dallas Museum of Art",NA,NA,NA,NA
"John T. Ross","Dallas Museum of Art","man","white","North America","1920"
"Aldo Rossi","Dallas Museum of Art","man","white","Europe","1930"
"ThACodore Rousseau","Dallas Museum of Art","man","white","Europe","1810"
"Olga Vladimirovna Rozanova","Dallas Museum of Art",NA,NA,NA,NA
"Thomas Ruff","Dallas Museum of Art","man","white","Europe","1960"
"Jean C. Rush","Dallas Museum of Art",NA,NA,NA,NA
"Frederick Bret Russel","Dallas Museum of Art","man","white",NA,"1810"
"Emily Edith Rutland","Dallas Museum of Art","woman","white","North America","1890"
"Utagawa Sadahide","Dallas Museum of Art","man","asian","Asia and the Pacific","1810"
"Norma Lopez Saenz","Dallas Museum of Art","woman","hispanic",NA,NA
"Cornelis Saftleven","Dallas Museum of Art","man",NA,"Europe","1610"
"Anri Sala","Dallas Museum of Art","man","white","Europe","1970"
"David Salle","Dallas Museum of Art","man","white","North America","1950"
"Morris B. Sanders","Dallas Museum of Art","man","white","North America",NA
"Geraldine Sandia","Dallas Museum of Art","woman","other","North America","1950"
"Birger Sandzen","Dallas Museum of Art","man","white","Europe","1870"
"Alan Saret","Dallas Museum of Art","man","white","North America","1940"
"Lloyd Sargent","Dallas Museum of Art","man",NA,"North America",NA
"Thomas Schindler","Dallas Museum of Art","man","white","Europe","1960"
"Adolph Schinnerer","Dallas Museum of Art","man",NA,"Europe","1880"
"Claudia Schmid","Dallas Museum of Art",NA,"white",NA,NA
"Werner Schmidt","Dallas Museum of Art","man","white","Europe","1890"
"Donald Schreckengost","Dallas Museum of Art","man","white","North America",NA
"Lynn Schroeder","Dallas Museum of Art",NA,"white","North America",NA
"Gisela Seibert-Philippen","Dallas Museum of Art",NA,"white","Europe","1940"
"Arie van Selm","Dallas Museum of Art","man","white","Europe",NA
"Richard Serra","Dallas Museum of Art","man","white","North America","1940"
"Gino Severini","Dallas Museum of Art","man","white","Europe","1880"
"George B. Sharp","Dallas Museum of Art","man","white",NA,NA
"William Shaw","Dallas Museum of Art","man",NA,"North America",NA
"George Shepherd","Dallas Museum of Art",NA,"white","Europe","1780"
"Thomas Hosmer Shepherd","Dallas Museum of Art","man","white","Europe","1790"
"William Anderson Sherwood","Dallas Museum of Art","man","white","North America","1880"
"Alan Shields","Dallas Museum of Art","man","white","North America","1940"
"Yukio Shimizu","Dallas Museum of Art","woman","asian","Asia and the Pacific",NA
"Karl F. Leinonen, The Handicraft Shop","Dallas Museum of Art","man","white",NA,"1870"
"Walter Richard Sickert","Dallas Museum of Art","man","white","Europe","1860"
"Laurie Simmons","Dallas Museum of Art","woman","white","North America","1950"
"Simon H. Slobodkin","Dallas Museum of Art","man",NA,NA,NA
"John Smibert","Dallas Museum of Art","man","white","Europe","1690"
"Luther Smith","Dallas Museum of Art","man","white","North America","1950"
"Xanthus Russell Smith","Dallas Museum of Art","man","white","North America",NA
"Alan Sonfist","Dallas Museum of Art","man","white","North America","1950"
"Christopher Dresser, James Dixon and Sons","Dallas Museum of Art","man","white","Europe","1830"
"Keith Murray, Josiah Wedgwood and Sons","Dallas Museum of Art","man","white",NA,"1890"
"Namikawa Sosuke","Dallas Museum of Art","man","asian","Asia and the Pacific","1850"
"Jose Spreafico","Dallas Museum of Art","man","white","Europe","1830"
"Christina Stack","Dallas Museum of Art","woman",NA,"North America","1950"
"Phillipe Starck","Dallas Museum of Art","man","white","Europe","1950"
"Joseph Stashkevetch","Dallas Museum of Art","man","white","North America","1960"
"Saul Steinberg","Dallas Museum of Art","man","white","Europe","1910"
"Joseph Stella","Dallas Museum of Art","man","white","Europe","1880"
"William Stephens","Dallas Museum of Art","man",NA,NA,NA
"Henry Sternberg","Dallas Museum of Art","man","white","North America","1900"
"Gustav Stickley","Dallas Museum of Art","man","white","North America","1860"
"Ignatius van der Stock","Dallas Museum of Art","man","white","Europe",NA
"Seneca Ray Stoddard","Dallas Museum of Art","man","white","North America","1840"
"Anton Storch","Dallas Museum of Art","man","white",NA,"1870"
"Thomas Stothard","Dallas Museum of Art","man","white","Europe","1760"
"Paul Strand","Dallas Museum of Art","man","white","North America","1890"
"William Stroud","Dallas Museum of Art","man",NA,NA,NA
"Thomas Struth","Dallas Museum of Art","man","white","Europe","1950"
"Franz von Stuck","Dallas Museum of Art","man","white","Europe","1860"
"Walter Stuempfig","Dallas Museum of Art","man","white","North America",NA
"Ron Suazo","Dallas Museum of Art","man","other","North America",NA
"Raymond Subes","Dallas Museum of Art","man","white","Europe","1890"
"Gaston Suisse","Dallas Museum of Art","man","white","Europe","1900"
"Louis Sullivan","Dallas Museum of Art","man","white","North America","1860"
"Ricky Swallow","Dallas Museum of Art","man","white","Asia and the Pacific","1970"
"Louis Szantos","Dallas Museum of Art","man",NA,NA,"1890"
"Agnes Tait","Dallas Museum of Art","woman","white","North America","1890"
"Yves Tanguy","Dallas Museum of Art","man","white",NA,"1900"
"Antoni Tapies","Dallas Museum of Art","man",NA,"Europe","1920"
"Thomas Tearle","Dallas Museum of Art","man","white","Europe",NA
"Ruth Tears","Dallas Museum of Art","woman","white","North America","1920"
"Fito Tena","Dallas Museum of Art",NA,NA,NA,NA
"John Tetley","Dallas Museum of Art","man","white","Europe",NA
"S. Seymour Thomas","Dallas Museum of Art","man",NA,"North America","1870"
"Frances Merritt Thompson","Dallas Museum of Art",NA,"white","North America","1940"
"William Thomson","Dallas Museum of Art","man","white",NA,NA
"J. Paulin Thorley","Dallas Museum of Art","man","white",NA,"1890"
"Yomi Tiamiyu","Dallas Museum of Art",NA,NA,NA,NA
"Santi di Tito","Dallas Museum of Art","man","white","Europe","1540"
"Mark Tobey","Dallas Museum of Art","man","white","North America","1890"
"Tooktak","Dallas Museum of Art",NA,NA,"North America","1900"
"Andreas Treykorn","Dallas Museum of Art","man","white","Europe",NA
"Monroe Tsatoke","Dallas Museum of Art","man",NA,"North America","1900"
"William Tuite","Dallas Museum of Art","man","white","Europe",NA
"Earl Tupper","Dallas Museum of Art","man","white","North America","1910"
"Janet E. Turner","Dallas Museum of Art","woman","white","North America","1910"
"Charles Turzak","Dallas Museum of Art","man",NA,"North America","1900"
"James Twitty","Dallas Museum of Art","man","white","North America","1920"
"Lee Ufan","Dallas Museum of Art","man","asian","Asia and the Pacific","1940"
"Charles Umlauf","Dallas Museum of Art","man","white","North America","1910"
"Helena Uglav, Unknown","Dallas Museum of Art","woman",NA,"Europe",NA
"Kitagawa Utamaro","Dallas Museum of Art","man","asian","Asia and the Pacific","1750"
"Barry Le Va","Dallas Museum of Art","man","white","North America","1940"
"Lester E. Varian","Dallas Museum of Art","man","white","North America","1880"
"Milton John Vehon","Dallas Museum of Art","man","white","North America","1920"
"Henry Clemens van de Velde","Dallas Museum of Art","man","white","Europe","1860"
"Miguel Ventura","Dallas Museum of Art","man",NA,NA,"1950"
"Porzellanfabrik Victoria","Dallas Museum of Art",NA,NA,NA,NA
"Sandra Victorino","Dallas Museum of Art","woman","other","North America","1960"
"Lella Vignelli, Massimo Vignelli","Dallas Museum of Art",NA,"white","Europe",NA
"Not Vital","Dallas Museum of Art","man","white","Europe","1950"
"Maurice de Vlaminck","Dallas Museum of Art","man","white","Europe","1880"
"Heinrich Vogeler","Dallas Museum of Art","man","white","Europe",NA
"John Wakelin","Dallas Museum of Art","man","white","Europe","1780"
"Marcel Wanders","Dallas Museum of Art","man","white","Europe","1960"
"Marie Waquie","Dallas Museum of Art","woman","other","North America",NA
"Russ Warren","Dallas Museum of Art","man",NA,"North America","1950"
"C. A. Wasserburger","Dallas Museum of Art","man","white","Europe","1940"
"June Wayne","Dallas Museum of Art","woman","white","North America","1920"
"Anne C. Weary","Dallas Museum of Art","woman","white","North America","1950"
"Clemens von Wedemeyer","Dallas Museum of Art","man","white","Europe","1970"
"Stow Wengenroth","Dallas Museum of Art","man",NA,"North America","1910"
"Irene White","Dallas Museum of Art","woman",NA,NA,NA
"Jack Whitten","Dallas Museum of Art","man","white","North America","1940"
"Ulfert Wilke","Dallas Museum of Art","man","white","Europe","1910"
"Danny Williams","Dallas Museum of Art","man",NA,"North America","1950"
"Michael Williams","Dallas Museum of Art","man","white","North America","1980"
"Clara McDonald Williamson","Dallas Museum of Art","woman","white","North America","1880"
"John Williamson","Dallas Museum of Art","man","white",NA,NA
"Mary Jane Winans","Dallas Museum of Art","woman",NA,NA,NA
"John W. Winkler","Dallas Museum of Art","man","white",NA,"1890"
"Betty Winn","Dallas Museum of Art","woman",NA,"North America",NA
"Roger Winter","Dallas Museum of Art","man","white","North America","1930"
"Tauno Pellervo Wirkkala","Dallas Museum of Art","man","white","Europe",NA
"Peter De Wit","Dallas Museum of Art","man","white","Europe","1960"
"Bernardine Wood","Dallas Museum of Art","woman",NA,NA,NA
"Samuel Johnson Woolf","Dallas Museum of Art","man","white","North America","1880"
"Dick Wray","Dallas Museum of Art","man",NA,"North America","1930"
"Frank Lloyd Wright","Dallas Museum of Art","man","white","North America","1870"
"Irene Wright","Dallas Museum of Art","woman","white","North America",NA
"Russel Wright","Dallas Museum of Art","man","white","North America","1900"
"B. Wurtz","Dallas Museum of Art","man",NA,"North America","1950"
"Jay Yager","Dallas Museum of Art","man",NA,NA,NA
"Tsuruko Yamazaki","Dallas Museum of Art",NA,"asian","Asia and the Pacific","1920"
"Marcella Yepa","Dallas Museum of Art",NA,"other","North America","1960"
"Christian Yordy","Dallas Museum of Art","man",NA,"North America","1810"
"David Teniers the Younger","Dallas Museum of Art","man","white","Europe","1610"
"Enrique Zanartu","Dallas Museum of Art","man","white",NA,"1920"
